Entry	Sam_16S_01	Sam_16S_02	Sam_16S_03	Sam_16S_04	Sam_16S_05	Sam_16S_06	Sam_16S_07	Sam_16S_08	Sam_16S_09	Sam_16S_10	Sam_16S_11	Sam_16S_12	Sam_16S_13	Sam_16S_14	Sam_16S_15	Sam_16S_16	Sam_16S_17	Sam_16S_18	Sam_16S_19	Sam_16S_20	Sam_16S_21	Sam_16S_22	Sam_16S_23	Sam_16S_24	Sam_16S_25	Sam_16S_26
ASV1	4718	1011	0	0	90	2	551	22407	0	0	2051	0	0	22603	0	0	6103	3905	0	0	58	0	2204	1907	2	0
ASV10	4	19	3	100	97	30	7	0	9344	5325	2	1	0	0	7058	4377	1	0	2	86	401	17	7	5	0	0
ASV100	1	0	0	0	0	4	0	0	402	0	0	0	2	0	252	0	0	0	0	0	4	1	0	0	0	0
ASV1000	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	17	0
ASV1001	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	1	0	0	0	0	0	0	20	0
ASV1002	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	19	0
ASV1003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	3	0
ASV1004	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	27	27	0	0	1	0	0	0	0	0
ASV1005	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	1	0	0	0	0	0	0
ASV1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0
ASV1007	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	27	0	0	0	0	0	0	0	0
ASV1008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0
ASV1009	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	5	0	0	0	0	0	0	28	0	0
ASV101	2	0	0	0	3	0	18	0	241	0	1	33	1	0	406	0	0	2	4	0	2	0	108	0	69	1
ASV1010	14	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0
ASV1011	1	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ASV1012	5	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	16	0	0	0	0	2	0	0	0
ASV1013	3	5	0	0	5	0	0	2	0	0	0	0	0	1	0	0	3	4	0	0	2	0	0	1	0	0
ASV1014	10	2	0	0	1	0	0	0	4	0	0	0	0	0	3	1	0	0	0	0	2	0	3	0	0	0
ASV1015	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1016	0	4	0	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0
ASV1017	0	5	0	4	11	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	3	0	0	0	0	0
ASV1018	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1019	0	26	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV102	0	70	51	85	0	2	221	0	0	31	0	0	0	0	0	25	1	0	34	76	6	1	637	43	0	0
ASV1020	0	0	7	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	19	0	0	0	0	0	0	0
ASV1021	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ASV1022	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
ASV1023	0	1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0
ASV1024	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0
ASV1025	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
ASV1026	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
