Entry	Sam_16S_01	Sam_16S_02	Sam_16S_03	Sam_16S_04	Sam_16S_05	Sam_16S_06	Sam_16S_07	Sam_16S_08	Sam_16S_09	Sam_16S_10	Sam_16S_11	Sam_16S_12	Sam_16S_13	Sam_16S_14	Sam_16S_15	Sam_16S_16	Sam_16S_17	Sam_16S_18	Sam_16S_19	Sam_16S_20	Sam_16S_21	Sam_16S_22	Sam_16S_23	Sam_16S_24	Sam_16S_25	Sam_16S_26
OTU1	13347	3519	49	10	5003	13	8715	51093	2	1	3644	1209	7	46845	2	2	15685	23779	34	6	3255	18	40917	3407	2488	22
OTU10	44	218	851	3	472	0	601	667	0	0	43	29	0	20276	0	0	4004	1249	892	2	539	0	0	646	49	0
OTU100	0	12	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0
OTU101	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	146	0	0	0	0	0
OTU102	46	1	0	0	26	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	41	0	0	0	0
OTU103	0	202	3	33	1	10	6	0	0	0	0	0	0	0	0	0	0	0	1	11	0	1	2	9	0	0
OTU104	2	73	0	30	53	97	0	0	0	0	4	0	0	0	0	0	1	4	0	34	211	64	0	0	0	0
OTU105	36	6	0	0	37	6	9	0	0	0	0	0	0	0	0	0	12	0	0	1	72	3	22	0	0	0
OTU106	7	1	0	0	0	25	115	0	0	2	0	0	0	0	0	0	1	1	0	0	0	1	497	0	0	0
OTU107	5	52	0	12	13	29	1	0	0	0	0	0	0	0	1	0	0	1	0	4	79	6	0	0	0	0
OTU108	168	61	3	0	85	2	49	24	0	0	31	30	1	87	0	0	187	405	1	1	62	0	30	51	71	0
OTU109	0	28	0	3	11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	55	0	0	0	0	0
OTU11	1	15	2	9725	84	179	6	11	0	0	4	1	4	0	0	0	0	0	2	9742	82	205	34	10	0	5
OTU110	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	85
OTU111	1	0	4	131	0	44	25	0	0	0	0	0	0	0	0	0	0	0	4	49	0	39	6	7	0	0
OTU112	0	132	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU113	0	110	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU114	2	1	0	0	2	0	60	2	0	0	0	0	0	0	0	0	1	0	0	0	17	0	64	0	0	0
OTU115	0	0	3	0	0	16	32	0	1	0	0	0	1	0	0	0	0	1	2	0	0	15	106	0	0	0
OTU116	4	18	0	10	25	5	0	0	0	0	8	0	0	0	0	0	0	0	0	7	60	2	0	0	0	0
OTU117	1	0	0	0	9	2	19	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	80	0	0	0
OTU118	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0
OTU119	5	0	1	0	33	20	0	0	0	0	0	0	0	0	0	0	0	0	0	1	27	9	0	0	0	0
OTU12	1033	268	29	37	1905	3	1384	48	13109	1	301	1096	6	69	12726	2	404	65	24	51	4755	2	6644	467	2066	8
OTU120	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU121	0	15	0	0	41	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	1	0	0	0	0
OTU122	0	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	59	0	0	0
OTU123	0	0	0	114	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	2	0	0	1	0
OTU124	0	144	0	714	14	3	1	0	0	0	0	0	0	0	0	0	0	0	1	609	6	0	0	0	0	0
OTU125	2	2	0	40	3	174	0	0	0	0	0	0	0	0	0	0	0	4	1	19	42	59	0	0	0	0
OTU126	0	1	0	48	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	28	5	1	0	0	0	0
OTU127	0	0	0	0	6	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	57	0	0	0
OTU128	42	1	0	0	9	90	22	0	0	0	0	0	0	0	0	0	6	0	0	0	37	32	66	0	0	0
OTU129	0	0	13	14	0	1	51	0	0	0	0	0	0	0	1	0	0	1	7	1	0	1	101	0	0	0
OTU13	1331	468	8	27	251	31	3445	1057	157	42	639	4764	97	1001	101	28	4272	303	8	13	522	28	14373	759	8629	153
OTU130	0	0	0	0	20	9	7	0	0	0	0	0	0	0	0	0	0	0	0	0	48	2	23	0	0	0
OTU131	0	0	13	0	0	23	40	0	0	0	0	0	0	0	0	0	0	0	4	0	0	26	146	9	0	0
OTU132	0	142	0	26	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11	22	0	0	0	0	0
OTU133	0	108	0	19	34	7	0	0	0	0	0	0	0	0	0	0	0	0	0	7	55	2	0	0	0	0
OTU134	0	51	0	9	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	6	0	0	0	0
OTU135	0	0	0	0	0	1	13	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	50	0	1	0
OTU136	0	0	0	0	3	3	53	0	0	0	1	0	0	0	1	0	1	2	0	0	16	0	203	12	0	0
OTU137	3	4	0	1	159	23	42	0	0	0	0	2	0	0	0	0	1	0	1	2	17	13	61	8	1	0
OTU138	0	14	0	0	10	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	10	0	0	0	0
OTU139	0	34	0	20	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	2	0	0	0	0
OTU14	2	4	0	4422	14	20	1	0	0	0	6	0	0	0	0	0	1	0	0	6202	12	19	3	0	0	0
